LMP_923_R2B1	LMP.Olap_923_R2B1	LMP_923_R3B1	LMP.Olap_923_R3B1	LMP_923_R1B2	LMP.Olap_923_R1B2
ENSG00000025423.11|HSD17B6	58	50.03	29.08	41	53	38.02
ENSG00000025434.19|NR1H3	119	143	106	163	132.01	147
ENSG00000025708.14|TYMP	19	9	11	12	11	1
ENSG00000025770.19|NCAPH2	1221.8	1430.47	1125.4	1497.55	1494.79	1435.93
ENSG00000025772.8|TOMM34	1351	1316	1038	1358	1548	1185
ENSG00000025796.14|SEC63	3044.72	2825.59	2123.54	3238.21	3100.53	2315.5
ENSG00000025800.14|KPNA6	2173.13	2053	1612.47	2336.42	2221.34	2024.99
ENSG00000026025.16|VIM	42303.41	40665.68	31304.62	40491.88	42439.01	34308.15
ENSG00000026036.22|RTEL1-TNFRSF6B	334.54	372.52	371.31	415.91	374.64	323
ENSG00000026297.15|RNASET2	97	108.4	52	75.83	108	55
ENSG00000026508.18|CD44	2123	2762	1578	2781	2231	2470
ENSG00000026559.14|KCNG1	135	102	112	114	88	124
ENSG00000026652.14|AGPAT4	1863	1587	1184	1664	1762	1279
ENSG00000026950.17|BTN3A1	504.81	421.26	337.05	423.27	399.38	339.38
ENSG00000027001.10|MIPEP	346.19	274	250	394.05	343	287
ENSG00000027697.14|IFNGR1	698	679	499	700	751	573
ENSG00000027847.14|B4GALT7	344	379	274	330	395	296
ENSG00000028116.17|VRK2	29.56	24.46	12.03	18.74	22.48	22.76
ENSG00000028137.19|TNFRSF1B	274	459	218	443	295	430
ENSG00000028203.18|VEZT	977	788	640	841	988	671
ENSG00000028277.21|POU2F2	50	37	22	28	53	12
ENSG00000028310.18|BRD9	1737.95	1532.78	1324.72	1651.96	1681.38	1432.1
ENSG00000028528.15|SNX1	3158	2533	2205	2821	3196	2357
ENSG00000028839.10|TBPL1	306.2	276.07	203.5	389.26	333.12	259.6
ENSG00000029153.14|ARNTL2	573	520	325	648	541	517
ENSG00000029363.16|BCLAF1	5696.61	4619.15	3847	5137.81	5769.69	4176.88
ENSG00000029364.12|SLC39A9	1705	1508	1332	1818	1707	1391
ENSG00000029639.11|TFB1M	218.42	199.96	171.8	241.18	255.74	206.65
ENSG00000029725.17|RABEP1	2246.79	2011.81	1554.5	2378.19	2263.3	1991.65
ENSG00000029993.15|HMGB3	2866	1887	1788	2143	2823	1782
ENSG00000030066.13|NUP160	3443	3180	2533	3598	3540	3056
ENSG00000030110.13|BAK1	356	396	322	448	426.99	361
ENSG00000030582.18|GRN	2147	2724	1829	2470	2294	2325
ENSG00000031003.10|FAM13B	1210	1093	687	1141.99	1202.81	904.98
ENSG00000031081.10|ARHGAP31	899	629	605	745	867	610
ENSG00000031691.7|CENPQ	386	448	278	565	435	403
ENSG00000031698.13|SARS	3732	3698	2696	3807	3781	3200
ENSG00000031823.14|RANBP3	1420	1471	1097	1449	1496	1336
ENSG00000032219.18|ARID4A	795	874	584	1065	880	754
ENSG00000032389.12|EIPR1	543	494	353	545	576	497
ENSG00000032444.16|PNPLA6	720	770.13	746	784	779	780
ENSG00000032742.17|IFT88	381	263	257	334	387	258
ENSG00000033011.12|ALG1	405.89	423.94	365.93	524.45	507.89	472.75
ENSG00000033030.13|ZCCHC8	552	490	402	578	591	438
ENSG00000033050.9|ABCF2	1776.61	1625.7	1415.24	1800.51	2058.45	1734.48
ENSG00000033100.16|CHPF2	1696.37	1945.33	1538.85	2064.52	1915.33	1939.69
ENSG00000033170.16|FUT8	1440.59	1338.16	981.58	1507.51	1532.83	1173.81
ENSG00000033178.13|UBA6	1510	1228	1048	1412	1612	1196
