LMP_602_R1B1	LMP.Olap_602_R1B1	LMP_602_R2B2	LMP.Olap_602_R2B2
ENSG00000032444.16|PNPLA6	451	482	529	420
ENSG00000032742.17|IFT88	434	432	415	406
ENSG00000033011.12|ALG1	268.72	260.9	242.3	221.56
ENSG00000033030.13|ZCCHC8	423	517	540	519
ENSG00000033050.9|ABCF2	707.79	719.77	757	613.55
ENSG00000033100.16|CHPF2	468	470	510	441
ENSG00000033170.16|FUT8	298.43	305.51	301.79	325.56
ENSG00000033178.13|UBA6	1320	1401	1479	1591
ENSG00000033327.13|GAB2	4981	5459	5291	4514
ENSG00000033627.16|ATP6V0A1	1658	1783	1738	1712
ENSG00000033800.13|PIAS1	1103.89	1239.34	1150.98	1167.45
ENSG00000033867.16|SLC4A7	535	558	565	544
ENSG00000034053.14|APBA2	2685	2797	2734	2308
ENSG00000034152.18|MAP2K3	466	496	536	477
ENSG00000034510.6|TMSB10	6903	7362	9202	8051
ENSG00000034533.11|ASTE1	183.67	223.62	244.96	216.95
ENSG00000034677.13|RNF19A	1532	1801	1780	1797
ENSG00000034693.15|PEX3	149	186.87	139	173.96
ENSG00000034713.8|GABARAPL2	966	1096	1152	1158
ENSG00000035115.21|SH3YL1	320	321	371	380
ENSG00000035141.8|FAM136A	890	1058	986	1027
ENSG00000035403.17|VCL	704.03	760.7	778.76	755.88
ENSG00000035499.13|DEPDC1B	613	709	723	752
ENSG00000035664.11|DAPK2	157	162	179	154
ENSG00000035681.9|NSMAF	1073	1096	1136	1126
ENSG00000035687.10|ADSS	786	944	1007	1089
ENSG00000035862.12|TIMP2	10716.13	12333	10485.66	10223.09
ENSG00000035928.16|RFC1	2263	2500	2475	2496
ENSG00000036054.13|TBC1D23	644	669	754	739
ENSG00000036257.13|CUL3	1781	1822	1875	1852
ENSG00000036448.10|MYOM2	55	75	52	30
ENSG00000036530.8|CYP46A1	19	10	14	20
ENSG00000036549.13|AC118549.1	525	424	559	500
ENSG00000036565.15|SLC18A1	302	388	411	431
ENSG00000036672.16|USP2	238	275	238	199
ENSG00000037042.9|TUBG2	597.61	654.5	675.1	649.25
ENSG00000037241.7|RPL26L1	339.93	370	370	331.87
ENSG00000037280.16|FLT4	37	40	29	21
ENSG00000037474.15|NSUN2	1908	2071	2013	1975
ENSG00000037637.11|FBXO42	502	529	531	569
ENSG00000037749.12|MFAP3	406	433	414	441
ENSG00000037757.14|MRI1	697.39	882.23	908.48	811.01
ENSG00000037897.17|METTL1	149	179	218	213
ENSG00000037965.6|HOXC8	3	16	11	9
ENSG00000038002.9|AGA	356	391	373	326
ENSG00000038210.13|PI4K2B	380.52	459.28	333.02	409.7
ENSG00000038219.13|BOD1L1	1113	1310	1268	1220
ENSG00000038274.17|MAT2B	755	708	794	722
ENSG00000038358.15|EDC4	2126.61	2524.99	2477	2226.88
ENSG00000038382.20|TRIO	7916	7372	8390	6789
ENSG00000038427.16|VCAN	9728	10300	11165	10310
ENSG00000038532.16|CLEC16A	466	466	425	427
ENSG00000039123.16|MTREX	1922.24	2068.04	2020.3	2138.67
ENSG00000039139.9|DNAH5	12	18	5	13
ENSG00000039319.17|ZFYVE16	2413.99	2762.34	2812.99	2668.08
ENSG00000039523.20|RIPOR1	1569	1763	1851	1655
ENSG00000039560.14|RAI14	525	695	644	589
ENSG00000039650.12|PNKP	426.57	544.53	588.55	520.19
ENSG00000040199.18|PHLPP2	654.79	682.07	791.23	773.99
ENSG00000040275.17|SPDL1	700	743	697	638
ENSG00000040341.18|STAU2	1037.61	1066.42	1036.77	1086.34
ENSG00000040487.13|PQLC2	321	360	335	344
ENSG00000040531.14|CTNS	380	370	419	378
ENSG00000040608.14|RTN4R	41	61	39	39
ENSG00000040633.13|PHF23	1004	1187	1351	1181
ENSG00000040933.15|INPP4A	716	756	748	765
ENSG00000041353.10|RAB27B	28	48	24	29
ENSG00000041357.16|PSMA4	3632	4194	3927	3929
ENSG00000041802.11|LSG1	852	883	910	880
ENSG00000041880.14|PARP3	223	256	236	236
ENSG00000041982.16|TNC	1744	1682	1484	1174
ENSG00000041988.15|THAP3	82.36	114.2	146.95	96
ENSG00000042088.13|TDP1	378	414	454	459
ENSG00000042286.15|AIFM2	19	7	9	17
ENSG00000042317.17|SPATA7	131	123	121.06	129.07
ENSG00000042429.12|MED17	914.33	922.15	1063.15	914.27
ENSG00000042445.14|RETSAT	860.9	891.86	950.95	891.97
ENSG00000042753.11|AP2S1	679	716	620	679
ENSG00000042832.12|TG	54	60	49	37
ENSG00000043093.14|DCUN1D1	716	851	916	851
ENSG00000043143.20|JADE2	219	210	209	200
ENSG00000043355.12|ZIC2	91	108	113	120
ENSG00000043514.16|TRIT1	246	220	225	215
ENSG00000044090.8|CUL7	38	50	60	36
ENSG00000044115.21|CTNNA1	6449	7009	7626	7075
ENSG00000044446.11|PHKA2	223.6	297	240	285
ENSG00000044459.15|CNTLN	381	461	437	482
ENSG00000044524.11|EPHA3	6349	6413	6882	6366
ENSG00000044574.8|HSPA5	8033	8050	9096	8224
ENSG00000046647.13|GEMIN8	146	158	177	154
ENSG00000046651.15|OFD1	899	940	956	962
ENSG00000046653.15|GPM6B	11591	12208	11453	10794
ENSG00000046774.10|MAGEC2	35	57	35	42
ENSG00000047056.15|WDR37	456	501	528	475
ENSG00000047188.16|YTHDC2	1461	1676	1542	1576
ENSG00000047230.15|CTPS2	574	650	682	650
ENSG00000047249.18|ATP6V1H	583	638	581	607
ENSG00000047315.16|POLR2B	3973.33	4307.12	4046.9	3994.76
ENSG00000047346.12|FAM214A	560	590.69	544	556.8
ENSG00000047365.12|ARAP2	178	191	154	158
ENSG00000047410.14|TPR	6244.98	7110.97	6886.99	6866
ENSG00000047578.13|KIAA0556	493.26	487.48	574.93	477.37
ENSG00000047579.19|DTNBP1	271	314	258	247
ENSG00000047621.12|C12orf4	579	695	641	707
ENSG00000047634.15|SCML1	356	458	329	415
ENSG00000047644.18|WWC3	1216	1414	1350	1151
