Ctrl_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP.Olap_602_R2B2
ENSG00000032219.18|ARID4A	905	1176	960	1098
ENSG00000032389.12|EIPR1	408	366	344	304
ENSG00000032444.16|PNPLA6	412	482	401	420
ENSG00000032742.17|IFT88	412	432	481	406
ENSG00000033011.12|ALG1	276.29	260.9	235.85	221.56
ENSG00000033030.13|ZCCHC8	363	517	386	519
ENSG00000033050.9|ABCF2	781.19	719.77	746.2	613.55
ENSG00000033100.16|CHPF2	475	470	461	441
ENSG00000033170.16|FUT8	329.34	305.51	347.81	325.56
ENSG00000033178.13|UBA6	1210	1401	1480	1591
ENSG00000033327.13|GAB2	5302	5459	4763	4514
ENSG00000033627.16|ATP6V0A1	1691	1783	1647	1712
ENSG00000033800.13|PIAS1	981.7	1239.34	1076.94	1167.45
ENSG00000033867.16|SLC4A7	422	558	603	544
ENSG00000034053.14|APBA2	2661	2797	2551	2308
ENSG00000034152.18|MAP2K3	507	496	459	477
ENSG00000034510.6|TMSB10	7039	7362	7771	8051
ENSG00000034533.11|ASTE1	197.24	223.62	188.56	216.95
ENSG00000034677.13|RNF19A	1419	1801	1851.2	1797
ENSG00000034693.15|PEX3	147.84	186.87	161	173.96
ENSG00000034713.8|GABARAPL2	970	1096	1201	1158
ENSG00000035115.21|SH3YL1	330	321	437	380
ENSG00000035141.8|FAM136A	874	1058	899	1027
ENSG00000035403.17|VCL	671.5	760.7	684.34	755.88
ENSG00000035499.13|DEPDC1B	522	709	631	752
ENSG00000035664.11|DAPK2	150	162	144	154
ENSG00000035681.9|NSMAF	1032	1096	1126	1126
ENSG00000035687.10|ADSS	827	944	989	1089
ENSG00000035862.12|TIMP2	10166.06	12333	9764.09	10223.09
ENSG00000035928.16|RFC1	2120	2500	2369	2496
ENSG00000036054.13|TBC1D23	638	669	715	739
ENSG00000036257.13|CUL3	1680	1822	1906	1852
ENSG00000036448.10|MYOM2	65	75	37	30
ENSG00000036530.8|CYP46A1	19	10	22	20
ENSG00000036549.13|AC118549.1	560	424	590	500
ENSG00000036565.15|SLC18A1	191	388	234	431
ENSG00000036672.16|USP2	210	275	180	199
ENSG00000037042.9|TUBG2	602.17	654.5	585.62	649.25
ENSG00000037241.7|RPL26L1	321.92	370	327	331.87
ENSG00000037280.16|FLT4	27	40	20	21
ENSG00000037474.15|NSUN2	1839	2071	2033	1975
ENSG00000037637.11|FBXO42	477	529	504	569
ENSG00000037749.12|MFAP3	337	433	414	441
ENSG00000037757.14|MRI1	773.14	882.23	767.3	811.01
ENSG00000037897.17|METTL1	208	179	183	213
ENSG00000037965.6|HOXC8	17	16	8	9
ENSG00000038002.9|AGA	377	391	327	326
ENSG00000038210.13|PI4K2B	326.74	459.28	388.38	409.7
ENSG00000038219.13|BOD1L1	998	1310	1097	1220
ENSG00000038274.17|MAT2B	691	708	790	722
ENSG00000038358.15|EDC4	2105.01	2524.99	1846.55	2226.88
ENSG00000038382.20|TRIO	8156	7372	8665	6789
ENSG00000038427.16|VCAN	8527	10300	10497	10310
ENSG00000038532.16|CLEC16A	484	466	446	427
ENSG00000039123.16|MTREX	1886.93	2068.04	2091.96	2138.67
ENSG00000039139.9|DNAH5	15	18	12	13
ENSG00000039319.17|ZFYVE16	2125.67	2762.34	2660.49	2668.08
ENSG00000039523.20|RIPOR1	1516	1763	1442	1655
