	Ctrl_602_R1B1	Ola_602_R1B1	Ctrl_602_R2B2	Ola_602_R2B2
ENSG00000118200.14|CAMSAP2	7.27087644026635	7.449992460409	7.43872301147722	7.28214588919812
ENSG00000118217.6|ATF6	5.95488967235024	6.0617140689872	5.96033743562593	6.05626630571151
ENSG00000118242.16|MREG	5.14170762639615	5.16124326308127	5.2191429354755	5.08380795400192
ENSG00000118246.14|FASTKD2	5.43504676232429	5.50706017246312	5.58050602931258	5.36160090547483
ENSG00000118257.16|NRP2	7.2554926090682	7.40192303741367	7.26785594602296	7.3895597004589
ENSG00000118260.15|CREB1	6.31002442631263	6.32285122028085	6.43167065336738	6.2012049932261
ENSG00000118263.15|KLF7	4.16071258235032	4.140008420473	4.18706598567313	4.11365501715019
ENSG00000118276.11|B4GALT6	2.65356940890632	3.01636145062506	2.93172358229262	2.73820727723876
ENSG00000118292.9|C1orf54	1.32476417963251	1.02336206278641	1.26743153283503	1.0806947095839
ENSG00000118298.12|CA14	7.49598005743064	7.38296760328466	7.45537628447552	7.42357137623978
ENSG00000118363.12|SPCS2	6.49040709263805	6.48626980888812	6.49190068875387	6.48477621277229
ENSG00000118369.13|USP35	5.21548170707963	5.20654613107777	5.09306977164337	5.32895806651403
ENSG00000118402.6|ELOVL4	1.97955036837162	2.18875720264942	2.26208381048718	1.90622376053386
ENSG00000118407.15|FILIP1	-0.446698716308248	0.110587895165316	-0.222994357351696	-0.113116463791235
ENSG00000118412.12|CASP8AP2	5.9328214005273	6.14067566530348	6.06849504838866	6.00500201744211
ENSG00000118418.14|HMGN3	6.23491279294359	6.14749647751068	6.16170114463801	6.22070812581626
ENSG00000118420.17|UBE3D	1.67956016762085	1.70599477867722	1.31126293123066	2.07429201506741
ENSG00000118432.12|CNR1	8.72920992275827	9.03858484998287	8.80778176363519	8.96001300910596
ENSG00000118454.13|ANKRD13C	4.90026928577343	5.00897491884855	5.05311405622235	4.85613014839963
ENSG00000118482.11|PHF3	6.78630466873419	6.94197919071403	6.93044936663553	6.79783449281269
ENSG00000118496.5|FBXO30	4.72378234789149	4.88060946708471	4.83327685521931	4.77111495975689
ENSG00000118503.15|TNFAIP3	3.275310039817	3.26645232845649	3.19550758273322	3.34625478554027
ENSG00000118507.17|AKAP7	5.48686063165402	5.60631748996647	5.55227606977921	5.54090205184127
ENSG00000118508.5|RAB32	1.84579799658841	1.09706115864583	1.47060511074013	1.4722540444941
ENSG00000118513.19|MYB	2.13054159559025	1.42083451952509	1.80817730898517	1.74319880613017
ENSG00000118514.14|ALDH8A1	-0.593216469368589	-0.593216469368589	-0.460251381436019	-0.726181557301158
ENSG00000118515.11|SGK1	5.60495074044163	5.58088904672929	5.68152434113342	5.5043154460375
ENSG00000118518.15|RNF146	4.85289965008703	4.96472031743096	5.011474873449	4.80614509406899
ENSG00000118523.6|CCN2	2.75591976898473	2.87828139222421	2.85229063422507	2.78191052698387
ENSG00000118557.15|PMFBP1	1.9417674752145	2.06187806436095	1.81091557160946	2.19272996796599
ENSG00000118564.14|FBXL5	5.83533852067955	5.8819781206437	5.92436709240055	5.7929495489227
ENSG00000118579.13|MED28	6.63566911884683	6.76842571856227	6.70941837723697	6.69467646017214
ENSG00000118600.11|RXYLT1	3.98506294544527	3.94054749664405	3.90510205546214	4.02050838662718
ENSG00000118620.13|ZNF430	4.70833248013776	4.61618544296801	4.55826030044084	4.76625762266494
ENSG00000118655.6|DCLRE1B	5.34539486931466	5.29317717585525	5.28095044227523	5.35762160289468
ENSG00000118680.13|MYL12B	7.44058691693934	7.35351116980344	7.42829057472777	7.36580751201501
ENSG00000118689.15|FOXO3	7.55801117794812	7.69765205940108	7.62844372987603	7.62721950747317
ENSG00000118690.13|ARMC2	0.704102647993368	0.650710581684426	0.662707472653599	0.692105757024195
ENSG00000118705.17|RPN2	8.9817751924747	8.92400887741648	8.94711611557504	8.95866795431614
ENSG00000118707.10|TGIF2	6.14591292700192	5.94935468761836	6.06318886305045	6.03207875156984
ENSG00000118762.8|PKD2	5.77660182426441	5.7198460641531	5.74968184223558	5.74676604618192
ENSG00000118777.12|ABCG2	0.550468034086388	0.9847911580168	0.909046222924939	0.626212969178248
ENSG00000118785.14|SPP1	3.4412582794222	2.93830271559673	3.28102110189538	3.09853989312355
ENSG00000118804.8|STBD1	3.21561784002975	2.41121465534081	3.09146764319125	2.53536485217932
ENSG00000118816.10|CCNI	8.07542936686139	8.04604123637324	8.06715179453407	8.05431880870056
ENSG00000118855.19|MFSD1	4.90191906177091	4.98111419723325	5.09736042849284	4.78567283051131
ENSG00000118873.16|RAB3GAP2	6.41760393691707	6.54276395841945	6.53509159303999	6.42527630229652
ENSG00000118894.14|EEF2KMT	3.85092538424584	3.87206055820993	3.89377965782144	3.82920628463433
ENSG00000118898.16|PPL	3.32939432903343	3.51224739443393	3.077645440863	3.76399628260435
ENSG00000118900.14|UBN1	6.0029541730903	6.01890110474733	6.00193052589592	6.01992475194171
ENSG00000118922.17|KLF12	6.10879763833396	6.24478059967444	6.28453429830251	6.06904393970588
