Ctrl_417_R1B1	LMP_417_R1B1	Ctrl_417_R2B2	LMP_417_R2B2	Ctrl_417_R3B2	LMP_417_R3B2
ENSG00000023516.9|AKAP11	1950	1605	1986	1821	2087	1726
ENSG00000023572.9|GLRX2	577.49	492.74	455.8	439.12	598.19	482.72
ENSG00000023608.5|SNAPC1	248.29	206	206.26	254	281	279.44
ENSG00000023697.13|DERA	682	499	477	447	522	426
ENSG00000023734.11|STRAP	2389	2044	1725	1745	2261	2176
ENSG00000023839.11|ABCC2	12	13	7	14	12	12
ENSG00000023892.11|DEF6	17	16	17	8	9	17
ENSG00000023902.14|PLEKHO1	431	463	484	465	654	723
ENSG00000023909.10|GCLM	529	456	394	363	666	736
ENSG00000024048.10|UBR2	1597	1443	1249	1257	1529	1239
ENSG00000024526.17|DEPDC1	899.72	750.7	964.66	1055.4	1174.32	1121.9
ENSG00000024862.17|CCDC28A	159.84	150	112	105	190	115
ENSG00000025039.14|RRAGD	3054	2818	2778	2886	3930	3474
ENSG00000025156.12|HSF2	498	424	414	385	505	451
ENSG00000025293.17|PHF20	1513	1259	1302	1153	1276	1064
ENSG00000025423.11|HSD17B6	17	33.06	30	40	4	7.03
ENSG00000025434.19|NR1H3	433.41	419	346	272.02	234	196
ENSG00000025708.14|TYMP	26.17	27	22	34	25	14
ENSG00000025770.19|NCAPH2	2067.31	1789.05	1592.12	1652.24	1392.59	1488
ENSG00000025772.8|TOMM34	1606	1396	1288	1188	2064	1983
ENSG00000025796.14|SEC63	3031.78	2435.44	2526.58	2465.77	2740.52	2602.7
ENSG00000025800.14|KPNA6	1681.73	1469	1376	1257	1498	1230.68
ENSG00000026025.16|VIM	32	25	36	29	22	20
ENSG00000026036.22|RTEL1-TNFRSF6B	411.62	409.05	280.14	312.95	225.97	265.51
ENSG00000026103.22|FAS	269.94	225.52	233.32	276.21	221.98	222.97
ENSG00000026297.15|RNASET2	720.09	665.68	507	495	2251	1816.24
ENSG00000026508.18|CD44	10900	8702	8802	8723	10448	9147
ENSG00000026652.14|AGPAT4	561	469	480	424	392	279
ENSG00000026950.17|BTN3A1	1250.49	1190.56	943.75	890	847.44	639.83
ENSG00000027001.10|MIPEP	283	246	201	198	353	294.06
ENSG00000027644.5|INSRR	311	335	277	348	160	121
ENSG00000027697.14|IFNGR1	1136	864	886	790	817	678
ENSG00000027847.14|B4GALT7	328	268	265	201	198	257
ENSG00000028203.18|VEZT	1517	1257	1140	1054	1609	1425
ENSG00000028310.18|BRD9	1039.76	885.43	792.79	743.71	820.98	791.14
ENSG00000028528.15|SNX1	4196	3669	3549	3389	4439	3726
ENSG00000028839.10|TBPL1	321.3	241.26	279.68	263.94	474.34	402.95
ENSG00000029153.14|ARNTL2	774	547	546	672	900	786
ENSG00000029363.16|BCLAF1	4889.94	4308.63	4185.41	3994.33	4178.68	3890.8
ENSG00000029364.12|SLC39A9	2971	2423	2239	2322	2566	2235
ENSG00000029534.20|ANK1	491.07	520	481.43	415	338	356.82
ENSG00000029639.11|TFB1M	191.49	151.7	142.16	172.62	245.55	197.01
ENSG00000029725.17|RABEP1	3344.92	2635.34	2612.79	2344.47	2871.61	2455.76
ENSG00000029993.15|HMGB3	2923	2473	2512	2668	2489	2334
ENSG00000030066.13|NUP160	1503	1236	1206	1187	1664	1547
ENSG00000030110.13|BAK1	797.99	648.99	530.99	525	667	719.99
ENSG00000030582.18|GRN	10967	11132	8392	7759	11396	14394
ENSG00000031003.10|FAM13B	1364	1066.99	1029	1037	1272.97	1009
ENSG00000031081.10|ARHGAP31	802	742	644	591	948	921
ENSG00000031691.7|CENPQ	274	223	263	295	319	246
ENSG00000031698.13|SARS	3791	3269	2804	2484	3489	3034
ENSG00000031823.14|RANBP3	1858	1692	1524	1357	1326	1382
ENSG00000032219.18|ARID4A	934	843	923	948	854	694
ENSG00000032389.12|EIPR1	634	542	453	438	511	411
ENSG00000032444.16|PNPLA6	1451	1393	1017	944	1041	1167
ENSG00000032742.17|IFT88	346	272	210	208	239	212
ENSG00000033011.12|ALG1	685.73	608.48	489.05	448.16	448.34	486.43
ENSG00000033030.13|ZCCHC8	721	603	643	606	616	574
ENSG00000033050.9|ABCF2	984.23	790.03	710.93	620.4	921.28	884.8
ENSG00000033100.16|CHPF2	1506.77	1339.8	1384.64	1133	1285	1497
ENSG00000033170.16|FUT8	986.97	784.92	828.86	740.88	834.68	672
ENSG00000033178.13|UBA6	723	621	676	624	842	735
ENSG00000033327.13|GAB2	2237	2036	2032	1825	1950	1757
ENSG00000033627.16|ATP6V0A1	5378	4802	4283	3956	4760	4516
ENSG00000033800.13|PIAS1	1400.35	1130.7	1175.13	1097.32	1374.23	1138.03
ENSG00000033867.16|SLC4A7	752	560	546	571	1781	1291
ENSG00000034053.14|APBA2	312	255	327	222	424	496
ENSG00000034152.18|MAP2K3	870	791	618	626	843	868
