Ctrl_827_R1B1	LMP.Olap_827_R1B1	Ctrl_827_R2B1	LMP.Olap_827_R2B1	Ctrl_827_R3B2	LMP.Olap_827_R3B2
ENSG00000013374.16|NUB1	1304.96	1215.98	1267.88	1463.98	1382.97	1077
ENSG00000013375.16|PGM3	1215.67	1030.58	1659.03	1145.02	1324.55	947.85
ENSG00000013392.8|RWDD2A	219	227	199	206	185	165
ENSG00000013441.16|CLK1	751	627	2038	681	1042	745
ENSG00000013503.10|POLR3B	520	458	238	456	577	410
ENSG00000013523.9|ANGEL1	528.83	584.37	429.93	670.42	523.91	516.26
ENSG00000013561.18|RNF14	1605	1643	1783.47	1824	1707	1352
ENSG00000013563.14|DNASE1L1	239.32	302.92	287.57	435.82	307.41	282.52
ENSG00000013573.17|DDX11	1560.4	1181.91	928.12	1337.19	1741.26	1068.26
ENSG00000013583.10|HEBP1	362	468	431	517	438	405
ENSG00000013588.8|GPRC5A	12	16	823	86	13	19
ENSG00000013619.14|MAMLD1	1600	1065	668	1086	1604	889
ENSG00000013810.19|TACC3	2201	1169	1198	1609	2730	1314
ENSG00000014123.10|UFL1	1247	1177	1248	1298	1338	1035
ENSG00000014138.9|POLA2	499.68	349.45	293.36	491.06	597.16	387.35
ENSG00000014164.7|ZC3H3	371	280	249	394	381	291
ENSG00000014216.15|CAPN1	1060.6	1085	1063	1362	1291.59	1085
ENSG00000014641.18|MDH1	2423.31	2373	2858	2830	2604.9	2176.81
ENSG00000014824.14|SLC30A9	2409	2408	2122	2652	2685	2083
ENSG00000014914.21|MTMR11	1138	1343	1860	1565	1198	1113
ENSG00000014919.12|COX15	618.02	615.43	607.07	666.72	762.41	598.57
ENSG00000015133.19|CCDC88C	93	132	38	113	93	78
ENSG00000015153.14|YAF2	312	238	261	250	314	226
ENSG00000015171.19|ZMYND11	1597	1378	1352	1442	1722	1263
ENSG00000015285.10|WAS	36	43	14	33	38	41
ENSG00000015475.18|BID	470	472	353	488	462	394
ENSG00000015479.18|MATR3	7270.94	5796	6968.98	6456.7	8067.78	5361.49
ENSG00000015532.9|XYLT2	582	520	519	722	665	548
ENSG00000015568.13|RGPD5	157.31	162.29	1832.21	435.17	85.08	126.76
ENSG00000015592.16|STMN4	134	275	51	186	113	134
ENSG00000015676.18|NUDCD3	3326	3089	2675	3417	3439	2552
ENSG00000016391.11|CHDH	551	492	238.72	477	561.94	427.89
ENSG00000016864.18|GLT8D1	1548.02	1401	2059	1776	1595.02	1374.02
ENSG00000017260.19|ATP2C1	2675.4	2363.03	2824.94	2698.04	2710.47	2225.04
ENSG00000017797.13|RALBP1	1402	1278	1491	1473.41	1584	1090
ENSG00000018189.13|RUFY3	932	921	1405	1044	989	805
ENSG00000018280.17|SLC11A1	6	4	8	12	13	14
ENSG00000018408.14|WWTR1	16111.85	11910.43	12820.03	13476.11	16204.6	10222.25
ENSG00000018510.15|AGPS	1121	1073	783	1096	1330	935
ENSG00000018610.14|CXorf56	252	230.92	222	272	252	227
ENSG00000018625.14|ATP1A2	13	17	25	31	20	32
ENSG00000018699.13|TTC27	571	416	454	482	565	436
ENSG00000018869.16|ZNF582	82.9	70.68	47.74	78.35	85.62	64.67
ENSG00000019144.19|PHLDB1	4382.84	3826.15	2966.12	4834.13	5120.86	3628.72
ENSG00000019485.13|PRDM11	147	139	132	183	195	148
